S,E,I,T,Zr,Zo,R
27280,1785,498,787,184,199,47887
27260,1783,499,787,183,199,47848
27240,1782,499,787,182,199,47809
27220,1781,499,787,181,199,47770
27199,1780,499,787,180,199,47732
27180,1778,499,787,179,199,47693
27160,1776,499,787,179,198,47655
27140,1774,499,787,179,197,47617
27120,1773,498,787,179,196,47579
27099,1772,497,787,179,195,47542
27080,1770,496,787,179,195,47503
27061,1768,496,786,179,195,47464
27041,1766,496,785,179,195,47427
27021,1765,495,784,179,195,47390
27000,1764,494,783,179,195,47354
26979,1763,493,783,179,195,47317
26961,1761,493,782,179,195,47279
26942,1759,493,781,179,195,47242
26923,1757,493,780,179,195,47205
26904,1756,492,779,179,195,47168
26884,1755,491,779,179,195,47131
26866,1753,490,779,179,195,47093
26847,1751,490,778,179,195,47056
26828,1749,490,777,179,195,47019
26809,1749,489,775,179,195,46982
26789,1749,488,774,179,195,46946
26771,1748,487,773,179,195,46909
26753,1747,488,771,179,194,46872
26734,1746,487,771,179,194,46835
26715,1745,488,770,179,193,46798
26695,1744,487,770,179,193,46762
26677,1742,488,769,179,192,46725
26659,1740,487,769,179,192,46688
26640,1739,487,768,179,191,46652
26621,1738,487,767,179,191,46615
26602,1737,487,767,179,191,46577
26582,1736,487,767,179,191,46540
26564,1734,487,767,179,191,46502
26546,1732,487,767,179,191,46464
26527,1731,486,767,179,191,46428
26508,1730,485,767,179,191,46392
26488,1729,484,767,179,191,46357
26471,1727,484,766,179,191,46321
26454,1725,484,765,179,191,46285
26436,1723,484,764,179,191,46250
26418,1722,483,763,179,191,46215
26400,1721,482,763,179,191,46179
